I am conflicted with this guy I work with. He is a coworker and close friend whom I've had a crush on since meeting him four years ago. We made out once after years of flirting. I was hoping for more, but nothing happened. I distanced myself a lot after.	"Hello! Emotions run high in ""crush"" situations and when emotions run high it's not uncommon for us to have emotion-based instead of fact-based thoughts. After reading your question, I wondered how you went from ""making out"" to ""nothing happened?"" I wondered if this happened because of an emotion-based thought that sounded like ""If he liked me, he would make something happen."" A truer and more empowering thought might be ""I want something different to happen with him and I want to take a different action to see if that can happen."" This thought focuses more on the one thing you can control: YOU.  Hopefully, the thought also empowers you to think through what you can do to gauge interest/talk with him about his feelings on the matter. I hope this helps and good luck to you!"
I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.	The offspring are your Property;If you require that no other man show inappropriate content to them, then require compensation for use and enjoyment of your Property, without your consent;Send them a bill;When they do not pay it, activate the local Sheriff, take them to small claims court, and win a judgment against them for failure to compensate for the use and enjoyment of your Property;I wonder what might happen after that... learn to act as man :)... and watch the magic happen...
I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.	"From what you write, it sounds like you're reaching quite far into your child's father's way to handle his friendships.There's a difference between an agreement between you and the child's father to not view porn, and with you monitoring and setting standards for your child's father's way to handle his social life.Try to accept the limits of your request extends to you and the child's father, not the way the child's father wants to handle his relationships with other people.Also, pushing too hard or setting your expectations of the child's father too wide for him to tolerate may end up backfiring on you.Who knows, maybe he'll decide ""enough is enough"" and withdraw from the otherwise reasonable agreement to not watch porn."
I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.	In my book, this is a boundary issue. Although you do not like inappropriate content, it is not up to you what your child's father looks at or what his friend sends him.  It is really hard not to monitor other people's lives, but in the end, your rights begin and end with you.
I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.	It sounds like you are wanting to protect your child from degrading images and that is one of the important parts of the job of a parent. Although it is challenging to supply an answer without knowing the full situation, it might be helpful to have a more broad discussion about what you both think about the influences and images that your child is exposed to and what you think your role is in protecting your child. This situation is one about beliefs and values and could well be an example you can use for exploring your parenting roles in protecting your child.
My boss took over some work I'd begun. Concerned that she had doubts about my work, i asked her for feedback. I assured her that I did my utmost for customer service, and asked if I was deficient. She then said this was me being co-dependent.	This interaction with your boss seems strange. It is tricky to know how to handle workplace conflicts, but there are typically resources in place to help employees and mangers communicate successful and feel confident that they are being treated fairly at work. Is there an HR department that you can use as a mediator?
I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing. What can I do to manage my stress?	"I think it's important to tease more of this situation out to figure out what is at the root of the stress. It is emotionally dangerous to be at a job for a lengthy duration in which you feel overworked and underpaid. You will not perform well as you mention, and thus your self-esteem will continually take a hit without really any effort. So, I don't know that simply coping with your stress would be advisable as a first step.You don't speak about a lot of what the office dynamics are like, which can be a big indicator for me of what can be done to help you feel better (because we exist as a part of a relationship with everything, including people at our job.) I would encourage you to speak up about your contributions to your boss. Often, ""overworked and underpaid"" also includes the ""my boss never notices me,"" and that can demoralizing. If we feel appreciated, that can go a long way. I've found that it is quite common for bosses to require some instruction for how to show each of their employees ""appreciation"" (and it goes deeper than ""thank you"" or taking you out to lunch - it's almost something felt as opposed to made explicit.)But sometimes appreciation isn't going to do the trick either. Because that overworked and underpaid actually has led you to feel ""burnout."" You have zero interest in doing the job in the way it is designed, so some real changes need to be implemented. The bottom line? Try not to just ""suck it up"" and do all of the ""self care"" work on your own. If your company isn't helping you to take care of yourself (I'm talking to you, boss that handles employee pay and/or work conditions!) then you also have to question if this is a company worth working for. While I don't know exactly what you do, it sounds like you have confidence in your contributions! So take that confidence to a tech company that will support you (and there are tech companies out there!)"
I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing. What can I do to manage my stress?	Being in this position is tough. If seeking another career opportunity isn't viable, there are a couple of things you can do to manage stress on the job.  1. Have a ritual to begin the day:  Consider setting a one sentence intention and plan tasks for the day2. Take the breaks you are offered. I know it can be difficult to step away from your desk to eat lunch or take 10-minute breaks during the day, but prioritize this if you can. Sometimes 30 minutes of downtime and fresh air can help you feel better. 3.  Have a ritual to end the day:  If you commute by car consider an end of the day playlist.  Take a walk. Light a candle.  Clear your desk and write tasks for the next day. Whatever it is, send a signal to your brain that it is time to end the day.4. If you do work from home or are expected to be available after hours, set boundaries where you can.  Set a timer for answering emails and stick to that.  Have phone free meals.    Try to engage in activities that are rejuvenating like spending time the friends and family.  5. Try to limit alcohol/ drugs.  Move as much as you can.  Get outside in natural sunlight.  These are just ideas/ suggestions.  Even doing one of these things could be a step in the right direction.  Best of luck!
I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing. What can I do to manage my stress?	Hello. Workplace stress is one of those areas of living that troubles many people who need an income to survive. The interactions between you and coworkers is a mixed bag, and sorting that out can be difficult. Also, if you are feeling under appreciated and not well paid, this can add bitterness to your lot of emotions. A few questions can be kept in mind as you work through your situation. Do you have the option of talking to your employer about your experiences and feelings with regard to your current work? Do you have local resources that you can use to find different jobs in your field? Do you have connections with employment counselors or agencies that can support you with strategies in dealing with workplace stress? These questions might cause others to bubble up, and could begin a new journey into a new field.While still at your job, what can you do to take care of yourself? Are you taking breaks? Do you eat lunch at the office, or do you go somewhere away from the office to eat? What do you do when you have a few moments to breathe? Understanding that you can indeed find even the smallest strategies useful for self-care, can help bolster your energy and give you some support as you move through the day. Seeking the support of family and friends can be helpful as well. Knowing your personal limits and when to pull back and take a break will give you a chance to recharge your mental and physical energy, thus helping you face the demands of your job.
I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing. What can I do to manage my stress?	"Ugh!  We spend so many hours at work, so if it's a tough environment it can really drag you down.  Is this your ""dream job"" gone sour or a ""just pay the bills"" deal that has gotten stale?  It makes a big difference in terms of next steps.For example, if this job is a step on the way to a bigger goal, it might be time to assess whether you need to be moving along to then next phase.  Have you learned what you needed to learn to make this a helpful experience?  Or do you sense there is more to learn, but you feel stuck in some way? If this current job is part of a bigger plan, then you need to practice some good self care, set up ways to remind yourself why you are doing what you are doing, and make sure you are including some ""carrots"" along the way.  That might mean spending some time each week networking (preferably live but online works well too) with peers in similar situations (entrepreneur groups, skill building trainings, etc).  Big dreams require small steps, but we all need support along the way.If , however, this is ""just a job"", then you really have to reassess your situation.  If you are burned out and not getting paid your worth then  look around for other opportunities.  You are employed, not owned.  You mentioned anxiety, and while I don't want to minimize the very real issues anxiety presents, is it possible that some of your anxiety can be seen as ""revving your engine""  and readying you to move on?  Or is it that pervasive feeling  of never being able to finish your work, feeling like you will be ""in trouble"", or dreading every single moment of your workday?  The first is a potentially positive motivator, the second is just bad for you.   See the difference?In order to feel any satisfaction with your job, it needs to be financially rewarding (to a level that makes sense), be a good atmosphere to learn, be supportive and/or be a step on the way to a bigger plan you have.  If your job isn't fulfilling any of those criteria, you need to move on.  And finally, if the only reason you have this job is to pay the bills, and you truly see no way around keeping your current position for now, remember why you are there - this is a job, not a family.  You rent your brain and body to your employer, not your heart and soul.  Those belong to you and you are responsible for feeding them.  That means good self-care, making sure you have social engagement (face-to-face, not just online), move your body, feel the sun on your face daily, creating ways to refresh your body and mind and generally taking care of your whole being.Discomfort exists for a reason - it primes us for change, gives us the necessary motivation to take reasonable risks, and pesters us until we do so.  The first step is to figure out what change is realistic, and take action."
